Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,Opførelsesår_Antal_boliger_2000-2009
,101001,1,1,1,55
,101002,1,1,1,0
,101003,1,1,1,50
,101005,1,1,1,150
,101006,1,1,1,80
,101007,2,1,1,185
,101008,2,1,1,93
,101009,2,1,1,2185
,101010,2,1,1,2169
,101011,3,1,1,56
,101012,3,1,1,0
,101013,3,1,1,631
,101014,3,1,1,18
,101016,4,1,1,521
,101017,4,1,1,155
,101018,4,1,1,34
,101019,4,1,1,418
,101020,5,1,1,0
,101021,5,1,1,137
,101022,5,1,1,11
,101023,5,1,1,39
,101024,5,1,1,0
,101025,5,1,1,12
,101027,6,1,1,815
,101028,6,1,1,162
,101029,6,1,1,194
,101030,6,1,1,437
,101031,7,1,1,80
,101032,7,1,1,0
,101033,7,1,1,10
,101034,7,1,1,57
,101035,7,1,1,128
,101036,7,1,1,72
,101039,7,1,1,0
,101040,7,1,1,80
,101041,7,1,1,97
,101042,8,1,1,9
,101043,8,1,1,119
,101044,8,1,1,27
,101046,8,1,1,2
,101047,8,1,1,25
,101048,8,1,1,442
,101049,9,1,1,0
,101050,9,1,1,20
,101051,9,1,1,70
,101052,9,1,1,65
,101053,9,1,1,137
,101054,9,1,1,0
,101055,9,1,1,2351
,101056,1,1,1,679
,101057,2,1,1,1130
,101058,5,1,1,85
,101059,6,1,1,4
,147001,10,1,1,0
,147002,10,1,1,32
,147003,10,1,1,0
,147004,10,1,1,75
,147005,11,1,1,548
,147006,11,1,1,260
,147007,11,1,1,463
,147008,11,1,1,0
,151001,20,2,1,223
,151002,20,2,1,21
,151003,20,2,1,51.39
,151004,20,2,1,5
,151005,20,2,1,26
,151006,20,2,1,232
,151008,20,2,1,514
,151009,20,2,1,39.61
,151010,20,2,1,264
,153001,18,2,1,13
,153002,18,2,1,107
,153003,18,2,1,33
,153004,18,2,1,9
,153005,18,2,1,243.44
,153006,18,2,1,226.56
,155001,12,1,1,169
,155004,12,1,1,321
,157001,13,2,1,30
,157002,13,2,1,73
,157003,13,2,1,22
,157004,13,2,1,129
,157005,13,2,1,10
,157006,13,2,1,6
,157007,13,2,1,401
,157008,13,2,1,106
,157009,13,2,1,32
,157010,13,2,1,21
,159001,15,2,1,99.91
,159002,15,2,1,228
,159003,15,2,1,185
,159004,15,2,1,27
,159005,15,2,1,867
,159006,15,2,1,50
,159007,15,2,1,116
,159008,15,2,1,28
,159009,15,2,1,8.09
,161001,20,2,1,170
,161002,20,2,1,173
,161003,20,2,1,114
,161004,20,2,1,40
,161005,20,2,1,56
,161006,20,2,1,72
,163001,16,2,1,44
,163002,16,2,1,105
,163003,16,2,1,129
,165001,19,2,1,18
,165002,19,2,1,2
,165003,19,2,1,222
,165004,19,2,1,1
,165005,19,2,1,60
,167001,17,2,1,107
,167002,17,2,1,24
,167003,17,2,1,7
,167004,17,2,1,14
,167005,17,2,1,69
,167006,17,2,1,150
,167007,17,2,1,64
,167008,17,2,1,207
,169001,19,2,1,17
,169002,19,2,1,34
,169004,19,2,1,62
,169006,19,2,1,406
,169007,19,2,1,175
,169008,19,2,1,351
,169009,19,2,1,106
,169010,19,2,1,110.57
,169012,19,2,1,32
,169013,19,2,1,33
,169014,19,2,1,67.43
,173001,14,2,1,93
,173002,14,2,1,262
,173003,14,2,1,160
,173004,14,2,1,136
,173005,14,2,1,1
,173006,14,2,1,78
,173007,14,2,1,2
,173008,14,2,1,78
,173009,14,2,1,39
,175001,16,2,1,25
,175002,16,2,1,135
,175003,16,2,1,67
,175004,16,2,1,51
,175005,16,2,1,3
,175006,16,2,1,27
,175007,16,2,1,0
,183001,18,2,1,98
,183002,18,2,1,1
,183003,18,2,1,6
,183004,18,2,1,124.05
,183005,18,2,1,173.95
,185001,12,1,1,212
,185002,12,1,1,84
,185003,12,1,1,182
,185004,12,1,1,114
,185005,12,1,1,27
,185006,12,1,1,81
,187001,18,2,1,584
,187002,18,2,1,83
,187003,18,2,1,389
,190001,25,3,1,154
,190002,25,3,1,48
,190003,25,3,1,431
,190004,25,3,1,11
,190005,25,3,1,69
,190006,25,3,1,777
,190007,25,3,1,26
,201001,26,3,1,35
,201002,26,3,1,141
,201003,26,3,1,202
,201004,26,3,1,169
,201005,26,3,1,165
,210001,22,3,1,354
,210002,22,3,1,48
,210003,22,3,1,35
,210004,22,3,1,244
,210005,22,3,1,298
,210007,22,3,1,128
,210008,22,3,1,9
,210009,22,3,1,78
,217001,21,3,1,209.80
,217002,21,3,1,318
,217003,21,3,1,161
,217004,21,3,1,190
,217005,21,3,1,180
,217006,21,3,1,24
,217007,21,3,1,55
,217008,21,3,1,118
,217009,21,3,1,199
,217010,21,3,1,100
,217011,21,3,1,188
,217012,21,3,1,63.20
,219001,23,3,1,433
,219002,23,3,1,192
,219003,23,3,1,56
,219004,23,3,1,6
,219005,23,3,1,69
,219006,23,3,1,894
,219007,23,3,1,117
,219008,23,3,1,21
,219009,23,3,1,44
,219010,23,3,1,257
,219011,23,3,1,119
,219012,23,3,1,306
,219013,23,3,1,94
,219014,23,3,1,60
,223001,22,3,1,332
,223002,22,3,1,106
,223003,22,3,1,72
,223004,22,3,1,11
,223005,22,3,1,149
,230001,26,3,1,276
,230003,26,3,1,82
,230004,26,3,1,74
,230005,26,3,1,245
,230006,26,3,1,12
,230007,26,3,1,92
,230008,26,3,1,16
,230009,26,3,1,35
,230010,26,3,1,127
,240001,25,3,1,33
,240002,25,3,1,388
,240003,25,3,1,177.98
,240004,25,3,1,50
,240005,25,3,1,81
,240006,25,3,1,62
,240007,25,3,1,370.97
,240008,25,3,1,153.00
,240009,25,3,1,601.06
,250001,24,3,1,499
,250002,24,3,1,299
,250003,24,3,1,149
,250004,24,3,1,514
,250005,24,3,1,471
,250006,24,3,1,514
,253001,35,5,2,157.46
,253002,35,5,2,404.75
,253003,35,5,2,78.79
,253004,35,5,2,367
,253005,35,5,2,158
,259001,34,5,2,177
,259002,34,5,2,86.57
,259003,34,5,2,620.62
,259004,34,5,2,132
,259005,34,5,2,117
,259006,34,5,2,259
,259007,34,5,2,229.38
,259008,34,5,2,92.43
,259009,34,5,2,264
,259010,34,5,2,38
,259011,34,5,2,589
,260001,24,3,1,486
,260002,24,3,1,175
,260003,24,3,1,302.04
,260004,24,3,1,449.96
,260005,24,3,1,284
,265001,36,5,2,19
,265002,36,5,2,22
,265003,36,5,2,135
,265004,36,5,2,26
,265005,36,5,2,294
,265006,36,5,2,127
,265007,36,5,2,110
,265008,36,5,2,51
,265009,36,5,2,15
,265010,36,5,2,505
,265011,36,5,2,71
,265013,36,5,2,464
,265014,36,5,2,65
,265015,36,5,2,93
,265016,36,5,2,58
,265017,36,5,2,235
,265018,36,5,2,20
,265021,36,5,2,1448
,269001,35,5,2,211
,269004,35,5,2,135
,269005,35,5,2,401
,270001,23,3,1,133
,270002,23,3,1,101
,270003,23,3,1,7
,270004,23,3,1,253
,270005,23,3,1,19
,270006,23,3,1,440
,270007,23,3,1,37
,270008,23,3,1,585
