Gruppe;ValgstedId;KredsNr;StorKredsNr;LandsdelsNr;Opførelsesår_Antal_personer_2010-9999
;101001;1;1;1;90
;101002;1;1;1;149
;101003;1;1;1;-
;101005;1;1;1;171
;101006;1;1;1;219
;101007;2;1;1;731
;101008;2;1;1;757
;101009;2;1;1;11203
;101010;2;1;1;2685
;101011;3;1;1;33
;101012;3;1;1;-
;101013;3;1;1;2116
;101014;3;1;1;23
;101016;4;1;1;2119
;101017;4;1;1;505
;101018;4;1;1;91
;101019;4;1;1;2066
;101020;5;1;1;41
;101021;5;1;1;239
;101022;5;1;1;33
;101023;5;1;1;21
;101024;5;1;1;-
;101025;5;1;1;163
;101027;6;1;1;816
;101028;6;1;1;77
;101029;6;1;1;55
;101030;6;1;1;438
;101031;7;1;1;89
;101032;7;1;1;-
;101033;7;1;1;440
;101034;7;1;1;385
;101035;7;1;1;98
;101036;7;1;1;323
;101039;7;1;1;466
;101040;7;1;1;288
;101041;7;1;1;249
;101042;8;1;1;89
;101043;8;1;1;349
;101044;8;1;1;2852
;101046;8;1;1;128
;101047;8;1;1;1642
;101048;8;1;1;3289
;101049;9;1;1;-
;101050;9;1;1;-
;101051;9;1;1;172
;101052;9;1;1;106
;101053;9;1;1;1253
;101054;9;1;1;199
;101055;9;1;1;9209
;101056;1;1;1;2708
;101057;2;1;1;1761
;101058;5;1;1;363
;101059;6;1;1;189
;147001;10;1;1;-
;147002;10;1;1;61
;147003;10;1;1;194
;147004;10;1;1;428
;147005;11;1;1;445
;147006;11;1;1;289
;147007;11;1;1;71
;147008;11;1;1;58
;151001;20;2;1;77
;151002;20;2;1;161
;151003;20;2;1;35,21
;151004;20;2;1;280
;151005;20;2;1;285
;151006;20;2;1;148
;151008;20;2;1;629
;151009;20;2;1;234,79
;151010;20;2;1;90
;153001;18;2;1;120
;153002;18;2;1;29
;153003;18;2;1;50
;153004;18;2;1;70
;153005;18;2;1;66,82
;153006;18;2;1;62,18
;155001;12;1;1;303
;155004;12;1;1;595
;157001;13;2;1;223
;157002;13;2;1;118
;157003;13;2;1;81
;157004;13;2;1;178
;157005;13;2;1;216
;157006;13;2;1;43
;157007;13;2;1;96
;157008;13;2;1;63
;157009;13;2;1;118
;157010;13;2;1;285
;159001;15;2;1;853,04
;159002;15;2;1;224
;159003;15;2;1;430
;159004;15;2;1;115
;159005;15;2;1;1194
;159006;15;2;1;206
;159007;15;2;1;281
;159008;15;2;1;178
;159009;15;2;1;102,96
;161001;20;2;1;97
;161002;20;2;1;68
;161003;20;2;1;135
;161004;20;2;1;103
;161005;20;2;1;61
;161006;20;2;1;641
;163001;16;2;1;1543
;163002;16;2;1;373
;163003;16;2;1;703
;165001;19;2;1;21
;165002;19;2;1;30
;165003;19;2;1;360
;165004;19;2;1;94
;165005;19;2;1;384
;167001;17;2;1;150
