Gruppe;ValgstedId;KredsNr;StorKredsNr;LandsdelsNr;Opførelsesår_Antal_boliger_1990-1999
;101001;1;1;1;608
;101002;1;1;1;3
;101003;1;1;1;45
;101005;1;1;1;60
;101006;1;1;1;163
;101007;2;1;1;87
;101008;2;1;1;343
;101009;2;1;1;27
;101010;2;1;1;117
;101011;3;1;1;58
;101012;3;1;1;14
;101013;3;1;1;198
;101014;3;1;1;61
;101016;4;1;1;156
;101017;4;1;1;233
;101018;4;1;1;84
;101019;4;1;1;140
;101020;5;1;1;55
;101021;5;1;1;386
;101022;5;1;1;56
;101023;5;1;1;170
;101024;5;1;1;199
;101025;5;1;1;-
;101027;6;1;1;138
;101028;6;1;1;43
;101029;6;1;1;1
;101030;6;1;1;33
;101031;7;1;1;4
;101032;7;1;1;205
;101033;7;1;1;80
;101034;7;1;1;10
;101035;7;1;1;410
;101036;7;1;1;53
;101039;7;1;1;36
;101040;7;1;1;102
;101041;7;1;1;201
;101042;8;1;1;413
;101043;8;1;1;93
;101044;8;1;1;137
;101046;8;1;1;58
;101047;8;1;1;109
;101048;8;1;1;48
;101049;9;1;1;-
;101050;9;1;1;15
;101051;9;1;1;144
;101052;9;1;1;264
;101053;9;1;1;46
;101054;9;1;1;-
;101055;9;1;1;-
;101056;1;1;1;282
;101057;2;1;1;161
;101058;5;1;1;328
;101059;6;1;1;85
;147001;10;1;1;153
;147002;10;1;1;95
;147003;10;1;1;152
;147004;10;1;1;236
;147005;11;1;1;240
;147006;11;1;1;10
;147007;11;1;1;492
;147008;11;1;1;20
;151001;20;2;1;13
;151002;20;2;1;36
;151003;20;2;1;11,42
;151004;20;2;1;69
;151005;20;2;1;7
;151006;20;2;1;158
;151008;20;2;1;152
;151009;20;2;1;614,58
;151010;20;2;1;294
;153001;18;2;1;6
;153002;18;2;1;124
;153003;18;2;1;12
;153004;18;2;1;20
;153005;18;2;1;93,23
;153006;18;2;1;86,77
;155001;12;1;1;91
;155004;12;1;1;241
;157001;13;2;1;70
;157002;13;2;1;4
;157003;13;2;1;247
;157004;13;2;1;69
;157005;13;2;1;19
;157006;13;2;1;15
;157007;13;2;1;156
;157008;13;2;1;184
;157009;13;2;1;50
;157010;13;2;1;50
;159001;15;2;1;39,39
;159002;15;2;1;35
;159003;15;2;1;502
;159004;15;2;1;13
;159005;15;2;1;114
;159006;15;2;1;38
;159007;15;2;1;117
;159008;15;2;1;21
;159009;15;2;1;12,61
;161001;20;2;1;4
;161002;20;2;1;101
;161003;20;2;1;139
;161004;20;2;1;-
;161005;20;2;1;24
;161006;20;2;1;366
;163001;16;2;1;67
;163002;16;2;1;85
;163003;16;2;1;346
;165001;19;2;1;51
;165002;19;2;1;1
;165003;19;2;1;21
;165004;19;2;1;-
;165005;19;2;1;156
;167001;17;2;1;82
;167002;17;2;1;42
;167003;17;2;1;28
;167004;17;2;1;27
;167005;17;2;1;24
;167006;17;2;1;52
;167007;17;2;1;202
;167008;17;2;1;26
;169001;19;2;1;3
;169002;19;2;1;50
;169004;19;2;1;19
;169006;19;2;1;69
;169007;19;2;1;13
;169008;19;2;1;1074
;169009;19;2;1;30
;169010;19;2;1;35,41
;169012;19;2;1;20
;169013;19;2;1;44
;169014;19;2;1;21,59
;173001;14;2;1;281
;173002;14;2;1;93
;173003;14;2;1;67
;173004;14;2;1;42
;173005;14;2;1;18
;173006;14;2;1;79
;173007;14;2;1;4
;173008;14;2;1;72
;173009;14;2;1;261
;175001;16;2;1;103
;175002;16;2;1;41
;175003;16;2;1;466
;175004;16;2;1;34
;175005;16;2;1;10
;175006;16;2;1;78
;175007;16;2;1;-
;183001;18;2;1;34
;183002;18;2;1;5
;183003;18;2;1;13
;183004;18;2;1;-
;183005;18;2;1;75
;185001;12;1;1;158
;185002;12;1;1;76
;185003;12;1;1;8
;185004;12;1;1;232
;185005;12;1;1;18
;185006;12;1;1;139
;187001;18;2;1;27
;187002;18;2;1;105
;187003;18;2;1;280
;190001;25;3;1;82
;190002;25;3;1;26
;190003;25;3;1;314
;190004;25;3;1;69
;190005;25;3;1;238
;190006;25;3;1;437
;190007;25;3;1;196
;201001;26;3;1;60
;201002;26;3;1;339
;201003;26;3;1;253
;201004;26;3;1;201
;201005;26;3;1;184
;210001;22;3;1;291
;210002;22;3;1;179
;210003;22;3;1;52
;210004;22;3;1;41
;210005;22;3;1;18
;210007;22;3;1;186
;210008;22;3;1;19
;210009;22;3;1;219
;217001;21;3;1;205,19
;217002;21;3;1;163
;217003;21;3;1;93
;217004;21;3;1;283
;217005;21;3;1;104
;217006;21;3;1;19
;217007;21;3;1;28
;217008;21;3;1;6
;217009;21;3;1;91
;217010;21;3;1;90
;217011;21;3;1;459
;217012;21;3;1;61,81
;219001;23;3;1;223
;219002;23;3;1;273
;219003;23;3;1;37
;219004;23;3;1;7
;219005;23;3;1;81
;219006;23;3;1;420
;219007;23;3;1;154
;219008;23;3;1;19
;219009;23;3;1;128
;219010;23;3;1;279
;219011;23;3;1;8
;219012;23;3;1;116
;219013;23;3;1;21
;219014;23;3;1;11
;223001;22;3;1;277
;223002;22;3;1;129
;223003;22;3;1;142
;223004;22;3;1;3
;223005;22;3;1;161
;230001;26;3;1;68
;230003;26;3;1;96
;230004;26;3;1;131
;230005;26;3;1;283
;230006;26;3;1;68
;230007;26;3;1;138
;230008;26;3;1;116
;230009;26;3;1;28
;230010;26;3;1;230
;240001;25;3;1;26
;240002;25;3;1;556
;240003;25;3;1;106,39
;240004;25;3;1;38
;240005;25;3;1;114
;240006;25;3;1;18
;240007;25;3;1;135,20
;240008;25;3;1;377,71
;240009;25;3;1;201,70
;250001;24;3;1;383
;250002;24;3;1;172
;250003;24;3;1;48
;250004;24;3;1;175
;250005;24;3;1;173
;250006;24;3;1;307
;253001;35;5;2;515,07
;253002;35;5;2;1242,33
;253003;35;5;2;137,60
;253004;35;5;2;147
;253005;35;5;2;114
;259001;34;5;2;104
;259002;34;5;2;65,68
;259003;34;5;2;207,97
;259004;34;5;2;9
;259005;34;5;2;515
;259006;34;5;2;111
;259007;34;5;2;156,03
;259008;34;5;2;33,32
;259009;34;5;2;71
;259010;34;5;2;7
;259011;34;5;2;151
;260001;24;3;1;287
;260002;24;3;1;77
;260003;24;3;1;44,67
;260004;24;3;1;265,33
;260005;24;3;1;37
;265001;36;5;2;124
;265002;36;5;2;5
;265003;36;5;2;438
;265004;36;5;2;161
;265005;36;5;2;152
;265006;36;5;2;692
;265007;36;5;2;41
;265008;36;5;2;101
;265009;36;5;2;21
;265010;36;5;2;320
;265011;36;5;2;135
;265013;36;5;2;396
