Gruppe;ValgstedId;KredsNr;StorKredsNr;LandsdelsNr;Ejerforhold_Antal_personer_01. Ejerbolig;Ejerforhold_Antal_personer_02. Andelsbolig;Ejerforhold_Antal_personer_03. Almennyttig bolig;Ejerforhold_Antal_personer_04. Lejer i offentligt ejet;Ejerforhold_Antal_personer_05. Privat lejerbolig;Ejerforhold_Antal_personer_06. Øvrige beboede boliger
;101001;1;1;1;2719;5490;1703;8;1526;4116
;101002;1;1;1;2503;2933;918;190;663;1171
;101003;1;1;1;2834;7613;424;10;1322;3643
;101005;1;1;1;2550;6783;1945;3;1072;3501
;101006;1;1;1;2845;4483;2578;83;1117;2381
;101007;2;1;1;4063;3167;4830;41;840;1324
;101008;2;1;1;1843;6418;5222;178;1523;3008
;101009;2;1;1;6105;126;3406;-;938;8613
;101010;2;1;1;4427;6973;292;7;1324;2428
;101011;3;1;1;3073;4524;185;68;2385;10048
;101012;3;1;1;2928;2002;-;2;1514;2730
;101013;3;1;1;3384;2840;1543;163;1741;3544
;101014;3;1;1;3104;4411;632;880;1905;5782
;101016;4;1;1;2961;4156;2270;-;1158;4013
;101017;4;1;1;3121;7841;3911;190;1957;3583
;101018;4;1;1;3980;4384;915;1;1238;763
;101019;4;1;1;7348;2138;1041;35;1056;1740
;101020;5;1;1;175;4709;2395;457;307;1105
;101021;5;1;1;1339;4493;3296;425;1213;2985
;101022;5;1;1;910;2985;2834;34;495;1551
;101023;5;1;1;937;4045;951;1;967;2482
;101024;5;1;1;385;6432;1700;-;487;988
;101025;5;1;1;1381;7463;2495;6;1339;1424
;101027;6;1;1;2003;5051;4165;11;1564;2931
;101028;6;1;1;2226;2393;3646;27;568;1818
;101029;6;1;1;841;955;3800;1;103;420
;101030;6;1;1;742;5202;2460;-;730;4599
;101031;7;1;1;2885;540;539;5;722;703
;101032;7;1;1;-;-;6673;-;-;45
;101033;7;1;1;2549;3343;1134;6;939;2097
;101034;7;1;1;4459;1810;4707;6;667;999
;101035;7;1;1;3077;1762;4030;551;513;327
;101036;7;1;1;6819;1263;3274;-;432;784
;101039;7;1;1;1780;1870;538;4;724;1314
;101040;7;1;1;5115;1125;266;2;619;787
;101041;7;1;1;5026;2817;2856;28;965;2482
;101042;8;1;1;5111;3233;1909;11;715;874
;101043;8;1;1;2487;4448;1179;-;1247;2708
;101044;8;1;1;3061;760;3486;80;734;2439
;101046;8;1;1;2024;1839;2478;17;619;564
;101047;8;1;1;1521;1386;2461;254;535;1029
;101048;8;1;1;2364;2912;940;-;560;4319
;101049;9;1;1;639;7514;205;61;744;969
;101050;9;1;1;1644;6194;1230;-;1274;1402
;101051;9;1;1;2017;2646;6091;9;698;587
;101052;9;1;1;1094;4857;502;336;1021;1459
;101053;9;1;1;1514;5660;702;29;678;786
;101054;9;1;1;263;781;1456;4;178;1786
;101055;9;1;1;3707;44;967;5;1064;9869
;101056;1;1;1;3240;2642;538;-;1683;2570
;101057;2;1;1;5474;703;2701;67;360;2569
;101058;5;1;1;923;4561;4536;21;1090;3929
;101059;6;1;1;869;3336;3341;4;132;1225
;147001;10;1;1;3450;3720;1214;20;1549;1964
;147002;10;1;1;4137;3490;480;30;1230;2493
;147003;10;1;1;3208;6230;383;158;1291;4469
;147004;10;1;1;5025;3727;1438;180;1310;2896
;147005;11;1;1;3023;1236;2448;954;707;5917
;147006;11;1;1;3280;2405;1749;179;1075;3450
;147007;11;1;1;3240;2623;1135;350;1774;3962
;147008;11;1;1;2037;5575;436;53;1229;1376
;151001;20;2;1;1740;-;4107;4;73;54
;151002;20;2;1;2141;146;5280;78;274;312
;151003;20;2;1;1704,43;-;1663,51;-;39,02;56,15
;151004;20;2;1;818;-;3543;-;34;46
;151005;20;2;1;4709;149;69;4;152;100
;151006;20;2;1;2028;34;5380;36;61;220
;151008;20;2;1;3648;368;1354;8;188;197
;151009;20;2;1;3108,57;84;1311,49;3;78,98;108,85
;151010;20;2;1;1377;362;1230;-;18;102
;153001;18;2;1;3743;56;733;-;90;37
;153002;18;2;1;1367;270;2378;164;111;191
;153003;18;2;1;905;-;2912;104;52;11
;153004;18;2;1;1765;-;5815;107;80;64
;153005;18;2;1;2478,40;-;4541,92;40,40;88,57;171,96
;153006;18;2;1;2306,60;-;4227,08;37,60;82,43;160,04
;155001;12;1;1;3988;116;568;103;274;232
;155004;12;1;1;7113;199;1153;51;306;391
;157001;13;2;1;5713;500;230;386;441;597
;157002;13;2;1;4650;705;465;9;381;380
;157003;13;2;1;5038;569;147;169;415;924
;157004;13;2;1;4269;716;1409;787;503;213
;157005;13;2;1;6376;465;97;-;578;377
;157006;13;2;1;5513;1112;-;36;566;862
;157007;13;2;1;4166;1417;21;194;1012;1800
;157008;13;2;1;3611;648;81;6;1102;918
;157009;13;2;1;5315;326;38;302;671;881
;157010;13;2;1;3895;657;-;132;1037;1002
;159001;15;2;1;3869,40;272,82;1116,25;202,69;522,58;1176,77
;159002;15;2;1;3763;1310;1822;110;453;1252
;159003;15;2;1;4356;245;3182;157;111;786
;159004;15;2;1;3804;241;5307;7;219;197
;159005;15;2;1;4005;331;3001;170;466;2042
;159006;15;2;1;5206;74;1794;149;134;998
;159007;15;2;1;2871;619;1083;13;508;419
;159008;15;2;1;3122;319;2161;127;320;171
;159009;15;2;1;1581,60;17,18;2938,75;8,31;60,42;70,23
;161001;20;2;1;2312;-;939;-;57;60
;161002;20;2;1;1880;403;197;155;405;490
;161003;20;2;1;2158;1008;1391;173;284;887
;161004;20;2;1;356;166;3361;25;104;294
;161005;20;2;1;1869;13;-;17;28;69
;161006;20;2;1;1531;136;2059;79;91;131
;163001;16;2;1;3183;513;6006;18;307;629
;163002;16;2;1;6040;14;2211;87;163;318
;163003;16;2;1;2500;169;6549;13;53;180
;165001;19;2;1;2975;74;2533;43;78;41
;165002;19;2;1;2891;-;1512;-;170;90
;165003;19;2;1;1847;42;2882;8;107;128
;165004;19;2;1;47;-;5181;116;18;73
;165005;19;2;1;3770;659;2342;53;49;2
;167001;17;2;1;3725;764;133;7;449;841
;167002;17;2;1;2217;1028;755;81;274;214
;167003;17;2;1;1804;409;3375;70;14;398
;167004;17;2;1;2931;168;2938;3;96;236
;167005;17;2;1;4825;1255;557;6;255;402
;167006;17;2;1;3458;-;3525;23;97;74
;167007;17;2;1;5880;157;1933;2;150;487
;167008;17;2;1;1420;591;5305;23;76;96
;169001;19;2;1;1310;787;2011;-;216;79
;169002;19;2;1;2771;28;1443;-;153;471
;169004;19;2;1;4107;52;1466;47;91;231
;169006;19;2;1;4346;108;2266;65;482;339
;169007;19;2;1;4869;172;759;66;398;868
;169008;19;2;1;815;874;2324;33;356;135
;169009;19;2;1;2163;20;10;74;218;97
;169010;19;2;1;2374,82;170,21;1236,18;44,73;231,71;233,57
;169012;19;2;1;4753;141;390;5;269;246
;169013;19;2;1;766;73;-;-;64;24
;169014;19;2;1;1448,18;103,79;753,82;27,27;141,29;142,43
;173001;14;2;1;2452;1601;281;157;553;1561
;173002;14;2;1;1362;573;3336;339;189;810
;173003;14;2;1;3035;84;1474;174;339;1545
;173004;14;2;1;4239;925;205;178;592;994
;173005;14;2;1;1043;62;109;64;160;62
;173006;14;2;1;5973;185;193;49;266;484
;173007;14;2;1;3829;-;1423;10;100;42
;173008;14;2;1;5528;557;1083;136;340;1013
;173009;14;2;1;3850;2;2093;57;207;296
;175001;16;2;1;2785;227;692;33;248;312
;175002;16;2;1;2467;-;2899;-;132;318
;175003;16;2;1;3858;434;2384;54;498;675
;175004;16;2;1;1263;101;3457;-;158;620
;175005;16;2;1;4648;48;1937;21;424;867
;175006;16;2;1;4202;83;1843;-;118;683
;175007;16;2;1;-;-;2163;-;-;-
;183001;18;2;1;1442;134;-;43;147;166
;183002;18;2;1;2563;-;1341;-;42;10
;183003;18;2;1;2082;-;3618;2;81;27
;183004;18;2;1;-;-;5139,93;106,47;0,98;314,53
;183005;18;2;1;4298;199;427,07;145,53;499,02;160,47
;185001;12;1;1;5312;4;506;33;161;515
;185002;12;1;1;7137;-;-;49;200;115
;185003;12;1;1;2915;-;3377;74;160;148
;185004;12;1;1;2817;246;1790;48;366;526
;185005;12;1;1;4658;257;125;130;153;124
;185006;12;1;1;2709;837;6687;53;663;94
;187001;18;2;1;3491;183;-;8;932;1431
