Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,Opførelsesår_Antal_boliger_Før 1940
,101001,1,1,1,6825
,101002,1,1,1,3088
,101003,1,1,1,6759
,101005,1,1,1,5698
,101006,1,1,1,4610
,101007,2,1,1,2983
,101008,2,1,1,6069
,101009,2,1,1,456
,101010,2,1,1,3649
,101011,3,1,1,7708
,101012,3,1,1,4033
,101013,3,1,1,3785
,101014,3,1,1,7060
,101016,4,1,1,4410
,101017,4,1,1,7300
,101018,4,1,1,4940
,101019,4,1,1,2968
,101020,5,1,1,4564
,101021,5,1,1,4473
,101022,5,1,1,2615
,101023,5,1,1,4017
,101024,5,1,1,4025
,101025,5,1,1,5635
,101027,6,1,1,4279
,101028,6,1,1,2037
,101029,6,1,1,1460
,101030,6,1,1,4644
,101031,7,1,1,2049
,101032,7,1,1,16
,101033,7,1,1,4327
,101034,7,1,1,3723
,101035,7,1,1,1278
,101036,7,1,1,1639
,101039,7,1,1,1879
,101040,7,1,1,1943
,101041,7,1,1,3879
,101042,8,1,1,3934
,101043,8,1,1,4904
,101044,8,1,1,897
,101046,8,1,1,814
,101047,8,1,1,1168
,101048,8,1,1,2830
,101049,9,1,1,4880
,101050,9,1,1,4947
,101051,9,1,1,3186
,101052,9,1,1,3866
,101053,9,1,1,3240
,101054,9,1,1,1199
,101055,9,1,1,577
,101056,1,1,1,2787
,101057,2,1,1,467
,101058,5,1,1,4138
,101059,6,1,1,2866
,147001,10,1,1,4270
,147002,10,1,1,3933
,147003,10,1,1,6218
,147004,10,1,1,4581
,147005,11,1,1,4222
,147006,11,1,1,2977
,147007,11,1,1,3841
,147008,11,1,1,4798
,151001,20,2,1,4
,151002,20,2,1,219
,151003,20,2,1,63.76
,151004,20,2,1,40
,151005,20,2,1,115
,151006,20,2,1,60
,151008,20,2,1,63
,151009,20,2,1,28.24
,151010,20,2,1,67
,153001,18,2,1,128
,153002,18,2,1,58
,153003,18,2,1,12
